h [H]
h2 [H][H]
o [O]
o2 [O][O]
oh [OH]
h2o O
n2 N#N
ho2 O[O]
h2o2 OO
ar [Ar]
co2 O=C=O
ch2o C=O
hco O=[CH]
ch3 [CH3]
ch2 [CH2]
ch [CH]
c [C]
ch4 C
ch2(s) [CH2]
c2h6 CC
c2h5 C[CH2]
c2h4 C=C
c2h2 C#C
c3ket21 CC(=O)COO
ch3cho CC=O
co	[C]=O
c2h	[C]#C
ch3oh	CO
c3h8	CCC
c11h23o-5	CCCCCCC([O])CCCC	! Confirmed by Anonymous
c11h23o2-5	CCCCCCC(CCCC)O[O]	! Confirmed by Anonymous
c14h29o2-3	CCCCCCCCCCCC(CC)O[O]	! Confirmed by Anonymous
c16h32-1	C=CCCCCCCCCCCCCCC	! Confirmed by Anonymous
c2h5coc2h4p	[CH2]CC(=O)CC	! Confirmed by Anonymous
c13h27o2h-4	CCCCCCCCCC(CCC)OO	! Confirmed by Anonymous
c15h31o2h-1	CCCCCCCCCCCCCCCOO	! Confirmed by Anonymous
c5coc2h4p	[CH2]CC(=O)CCCCC	! Confirmed by Anonymous
c15h31o2h-6	CCCCCCCCCC(CCCCC)OO	! Confirmed by Anonymous
c12h25o2-1	CCCCCCCCCCCCO[O]	! Confirmed by Anonymous
c10h21o-4	CCCCCCC([O])CCC	! Confirmed by Anonymous
c8h17o2-3	CCCCCC(CC)O[O]	! Confirmed by Anonymous
c8h17o2h-3	CCCCCC(CC)OO	! Confirmed by Anonymous
neoc5h12	CC(C)(C)C	! Confirmed by Anonymous
c12h25o2-5	CCCCCCCC(CCCC)O[O]	! Confirmed by Anonymous
c12h25o-5	CCCCCCCC([O])CCCC	! Confirmed by Anonymous
ic4h9o2h	CC(C)COO	! Confirmed by Anonymous
c10h21-1	[CH2]CCCCCCCCC	! Confirmed by Anonymous
c3h6cho-1	[CH2]CCC=O	! Confirmed by Anonymous
c13h27o-6	CCCCCCCC([O])CCCCC	! Confirmed by Anonymous
c13h27o2-6	CCCCCCCC(CCCCC)O[O]	! Confirmed by Anonymous
tc4h9o2	CC(C)(C)O[O]	! Confirmed by Anonymous
c10h21o-1	CCCCCCCCCC[O]	! Confirmed by Anonymous
c9h19-4	CCC[CH]CCCCC	! Confirmed by Anonymous
c11h23o2h-1	CCCCCCCCCCCOO	! Confirmed by Anonymous
c11h23o2h-4	CCCCCCCC(CCC)OO	! Confirmed by Anonymous
c11h23o2h-3	CCCCCCCCC(CC)OO	! Confirmed by Anonymous
c9h18-4	CCCC=CCCCC	! Confirmed by Anonymous
c9h19o2-5	CCCCC(CCCC)O[O]	! Confirmed by Anonymous
c6h13o2h-2	CCCCC(C)OO	! Confirmed by Anonymous
c14h29o2h-3	CCCCCCCCCCCC(CC)OO	! Confirmed by Anonymous
ic3h5cho	C=C(C)C=O	! Confirmed by Anonymous
ac5h11o	CCC(C)C[O]	! Confirmed by Anonymous
c13h27o2h-1	CCCCCCCCCCCCCOO	! Confirmed by Anonymous
c15h31o2h-8	CCCCCCCC(CCCCCCC)OO	! Confirmed by Anonymous
c15h31o2h-7	CCCCCCCCC(CCCCCC)OO	! Confirmed by Anonymous
c15h31o2h-2	CCCCCCCCCCCCCC(C)OO	! Confirmed by Anonymous
c14ooh7-8	CCCCCC[CH]C(CCCCCC)OO	! Confirmed by Anonymous
c14h29o2h-7	CCCCCCCC(CCCCCC)OO	! Confirmed by Anonymous
c14h29o2h-2	CCCCCCCCCCCCC(C)OO	! Confirmed by Anonymous
c11h23o2h-6	CCCCCC(CCCCC)OO	! Confirmed by Anonymous
c11h23o2h-5	CCCCCCC(CCCC)OO	! Confirmed by Anonymous
nc6h13cho	CCCCCCC=O	! Confirmed by Anonymous
ch3coch2o2	CC(=O)CO[O]	! Confirmed by Anonymous
c12h25o2h-1	CCCCCCCCCCCCOO	! Confirmed by Anonymous
neoc5h11	[CH2]C(C)(C)C	! Confirmed by Anonymous
c12h25o2h-5	CCCCCCCC(CCCC)OO	! Confirmed by Anonymous
c10h21o2h-4	CCCCCCC(CCC)OO	! Confirmed by Anonymous
c11h22-4	CCCC=CCCCCCC	! Confirmed by Anonymous
c8h17-3	CC[CH]CCCCC	! Confirmed by Anonymous
c16h33-7	CCCCCC[CH]CCCCCCCCC	! Confirmed by Anonymous
c10h21-3	CC[CH]CCCCCCC	! Confirmed by Anonymous
c13h27o2h-6	CCCCCCCC(CCCCC)OO	! Confirmed by Anonymous
